cmd_id,cuis_selected,preferred,har_manual,X2nd_har,X3rd_har,final,final_cui
31,C0149931;C0850708,Migraine Disorders History of disease,Migraine Disorders,,,Migraine Disorders,C0149931
32,C0154723;C1518422,Migraine with Aura Negation,Migraine Disorders,,,Migraine Disorders,C0149931
33,C0455512;C1518422,H/O: migraine Negation,Malignant Neoplasms,,,Malignant Neoplasms,C0006826
33,C0455512;C1518422,H/O: migraine Negation,Medical History,,,Medical History,C0262926
34,C0043210;C1510829;C0205172,Woman Age-Years More,Age-Years,,,Age-Years,C1510829
35,C0043210;C1510829;C0439092,Woman Age-Years Less Than,Gender,,,Gender,C0079399
36,C0017654;C0011849;C0443288,Glomerular Filtration Rate Diabetes Mellitus Restricted,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
36,C0017654;C0011849;C0443288,Glomerular Filtration Rate Diabetes Mellitus Restricted,Glomerular Filtration Rate,,,Glomerular Filtration Rate,C0017654
37,C0241863;C0449438,diabetic Status,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
38,C1518422;C0241863,Negation diabetic,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
39,C0005680;C1518422,Black race Negation,Racial group,,,Racial group,C0034510
40,C0241863;C1518422,diabetic Negation,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
41,C0043157;C1518422,Caucasians Negation,Racial group,,,Racial group,C0034510
42,C0086409;C1518422,Hispanics Negation,Racial group,,,Racial group,C0034510
43,C1533021;C3853635,Hispanic white racial group Race,Racial group,,,Racial group,C0034510
44,C0524620;C1518422,Metabolic Syndrome X Negation,Metabolic Syndrome X,,,Metabolic Syndrome X,C0524620
45,C0011849;C1518422,Diabetes Mellitus Negation,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
46,C1442488;C0011849,Baseline Diabetes Mellitus,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
47,C1551358;C0011849,Incident Diabetes Mellitus,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
48,C3811844;C0205081;C0205082,Estimated Glomerular Filtration Rate Moderate (severity modifier) Severe (severity modifier),Estimated Glomerular Filtration Rate,,,Estimated Glomerular Filtration Rate,C3811844
49,C3811844;C0442805;C0205307,Estimated Glomerular Filtration Rate Increase Normal,Estimated Glomerular Filtration Rate,,,Estimated Glomerular Filtration Rate,C3811844
50,C3811844;C2945599,Estimated Glomerular Filtration Rate Mild (qualifier value),Estimated Glomerular Filtration Rate,,,Estimated Glomerular Filtration Rate,C3811844
51,C0004057;C1442488,Aspirin Baseline,Aspirin,,,Aspirin,C0004057
52,C0004057;C1442488;C1518422,Aspirin Baseline Negation,Aspirin,,,Aspirin,C0004057
53,C0004238;C1518422,Atrial Fibrillation Negation,Atrial Fibrillation,,,Atrial Fibrillation,C0004238
54,C0005910;C3898900,Body Weight Healthy,Body Weight,,,Body Weight,C0005910
55,C0007222;C1518422,Cardiovascular Diseases Negation,Cardiovascular Diseases,,,Cardiovascular Diseases,C0007222
56,C0014939;C1518422,Estrogens Negation,Estrogens,,,Estrogens,C0014939
57,C0439175;C1561607,% of total Overall,NA TO BE DELETED,,,NA TO BE DELETED,NA
58,C0314603;C0449820,Genetic Score,Genetic,,,Genetic,C0314603
59,C1412761;C0314603;C0035647;C0449820,BCL2A1 gene Genetic Risk Score,BCL2A1 gene,Genotype,,Genotype,C0017431
59,C1412761;C0314603;C0035647;C0449820,BCL2A1 gene Genetic Risk Score,Risk,,,Risk,C0035647
60,C0005516;C0016026;C0205251;C0919505,Biological Markers Fibroblast Growth Factor low Fibroblast Growth Factor Gene Family,Fibroblast Growth Factor Gene Family,,,Fibroblast Growth Factor Gene Family,C0919505
61,C0005516;C0016026;C0205251;C3163633,Biological Markers Fibroblast Growth Factor low Elevated,Fibroblast Growth Factor,,,Fibroblast Growth Factor,C0016026
62,C0005516;C0016026;C0919505;C0205250;C3163633,Biological Markers Fibroblast Growth Factor Fibroblast Growth Factor Gene Family High Elevated,Fibroblast Growth Factor,,,Fibroblast Growth Factor,C0016026
63,C0005516;C0919505;C0016026;C0205250;C3163633,Biological Markers Fibroblast Growth Factor Gene Family Fibroblast Growth Factor High Elevated,Fibroblast Growth Factor Gene Family,,,Fibroblast Growth Factor Gene Family,C0919505
64,C0016026;C3811844,Fibroblast Growth Factor Estimated Glomerular Filtration Rate,Estimated Glomerular Filtration Rate,,,Estimated Glomerular Filtration Rate,C3811844
65,C0035647;C0683312,Risk Categories,risk factors,,,risk factors,C0035648
66,C0001645;C1516879,Adrenergic beta-Antagonists Enrollment,Adrenergic beta-Antagonists,,,Adrenergic beta-Antagonists,C0001645
67,C0001645;C1518422,Adrenergic beta-Antagonists Negation,Adrenergic beta-Antagonists,,,Adrenergic beta-Antagonists,C0001645
68,C0001645;C3274571,Adrenergic beta-Antagonists Clinical Study Follow-up,Adrenergic beta-Antagonists,,,Adrenergic beta-Antagonists,C0001645
69,C0003015;C1516879,Angiotensin-Converting Enzyme Inhibitors Enrollment,Angiotensin-Converting Enzyme Inhibitors,,,Angiotensin-Converting Enzyme Inhibitors,C0003015
70,C0003015;C3274571,Angiotensin-Converting Enzyme Inhibitors Clinical Study Follow-up,Angiotensin-Converting Enzyme Inhibitors,,,Angiotensin-Converting Enzyme Inhibitors,C0003015
71,C0004057;C1516879,Aspirin Enrollment,Aspirin,,,Aspirin,C0004057
72,C0004057;C3274571,Aspirin Clinical Study Follow-up,Aspirin,,,Aspirin,C0004057
73,C0004238;C0016385,Atrial Fibrillation Cardiac Flutter,Atrial Fibrillation,,,Atrial Fibrillation,C0004238
74,C0005910;C0850293,Body Weight electrophysiological studies,Body Weight,,,Body Weight,C0005910
75,C0012265;C1516879,Digoxin Enrollment,Digoxin,Digitalis glycosides,CARDIAC THERAPY,CARDIAC THERAPY,NA
76,C0012265;C3274571,Digoxin Clinical Study Follow-up,Digoxin,Digitalis glycosides,CARDIAC THERAPY,CARDIAC THERAPY,NA
77,C0032821;C1516879,Potassium Enrollment,Potassium,,,Potassium,C0032821
78,C0043031;C1516879,Warfarin Enrollment,Warfarin,Vitamin K antagonists,Antithrombotic Agents,Antithrombotic Agents,C1704311
79,C0043031;C3274571,Warfarin Clinical Study Follow-up,Warfarin,,Antithrombotic Agents,Antithrombotic Agents,C1704311
80,C0304490;C3274571,Potassium Sparing Diuretics Clinical Study Follow-up,Potassium Sparing Diuretics,Diuretics,,Diuretics,C0012798
81,C0354100;C3274571,Loop Diuretics Clinical Study Follow-up,Loop Diuretics,Diuretics,,Diuretics,C0012798
82,C0360714;C1516879,Hydroxymethylglutaryl-CoA Reductase Inhibitors Enrollment,Hydroxymethylglutaryl-CoA Reductase Inhibitors,,,Hydroxymethylglutaryl-CoA Reductase Inhibitors,C0360714
83,C0360714;C3274571,Hydroxymethylglutaryl-CoA Reductase Inhibitors Clinical Study Follow-up,Hydroxymethylglutaryl-CoA Reductase Inhibitors,,,Hydroxymethylglutaryl-CoA Reductase Inhibitors,C0360714
84,C0521942;C3274571,Angiotensin II receptor antagonist Clinical Study Follow-up,Angiotensin II receptor antagonist,,,Angiotensin II receptor antagonist,C0521942
85,C0541746;C1516879,Thiazides Enrollment,Loop Diuretics,Diuretics,,Diuretics,C0012798
86,C0541746;C3274571,Thiazides Clinical Study Follow-up,Loop Diuretics,Diuretics,,Diuretics,C0012798
87,C0034656;C0040223,Randomization Time,NA TO BE DELETED,,,NA TO BE DELETED,NA
88,C0040223;C4303340;C1444662,Time Warfarin therapy Discontinued,Warfarin,,Antithrombotic Agents,Antithrombotic Agents,C1704311
89,C1861172;C4330837,Venous Thromboembolism Number of Events,Thromboembolism,,,Thromboembolism,C0040038
90,C0012634;C0333482;C0205210,Disease atherosclerotic Clinical,atherosclerotic,,,atherosclerotic,C0333482
91,C0015663;C0202042,Fasting Plasma Glucose Measurement,Plasma Glucose Measurement,Glucose,,Glucose,C0017725
92,C0037369;C2003901,Smoking Never (frequency),Smoking Status,,,Smoking Status,C1519386
93,C0428883;C0439475,Diastolic blood pressure mmHg,Blood Pressure,,,Blood Pressure,C0005823
94,C0439475;C0871470,mmHg Systolic Pressure,Blood Pressure,,,Blood Pressure,C0005823
95,C0455271;C0567349,Urine albumin/creatinine ratio measurement milligram/millimole (mg/mmol),Urine albumin/creatinine ratio measurement,,,Urine albumin/creatinine ratio measurement,C0455271
96,C2926735;C0011849;C0439234,Duration Diabetes Mellitus year,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
97,"C0456689	  ;C1305855",Kilogram Per Square Meter Body mass index,Body mass index,,,Body mass index,C1305855
98,C1305855;C0456689,Body mass index NA,Body mass index,,,Body mass index,C1305855
99,C2926735;C0011849,Duration Diabetes Mellitus,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
100,C0019139;C1516879,"Heparin, Low-Molecular-Weight Enrollment",heparin,Antithrombotic Agents,,Antithrombotic Agents,C1704311
101,C0021398;C1320528;C1318493;C0002997,"Economic Inflation Time of symptom onset Inflation procedure Angioplasty, Balloon, Coronary","Angioplasty, Balloon, Coronary",,,"Angioplasty, Balloon, Coronary",C0002997
102,C0034656;C1320528,Randomization Time of symptom onset,NA TO BE DELETED,,,NA TO BE DELETED,NA
103,C0205094;C1518422,Anterior Negation,Anterior myocardial infarction,Myocardial Infarction,,Myocardial Infarction,C0027051
104,C0205156;C0439242,Previous milliliter,NA TO BE DELETED,,,NA TO BE DELETED,NA
105,C0205421;C0678226;C3538919;C1532338,Deferred Due to Low Risk Percutaneous Coronary Intervention,Percutaneous Coronary Intervention,,,Percutaneous Coronary Intervention,C1532338
106,C0439673;eitheror;C1518422,Unknown Either one or other Negation,NA TO BE DELETED,,,NA TO BE DELETED,NA
107,C0455488;C0262512,H/O: diabetes mellitus History of present illness,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
107,C0455488;C0262512,H/O: diabetes mellitus History of present illness,Medical History,,,Medical History,C0262926
108,C0678226;C3538919;C0522486;C1532338,Due to Low Risk Delay time Percutaneous Coronary Intervention,Percutaneous Coronary Intervention,,,Percutaneous Coronary Intervention,C1532338
109,C0884358;C0918012;C1532338,Performed Index Percutaneous Coronary Intervention,Percutaneous Coronary Intervention,,,Percutaneous Coronary Intervention,C1532338
110,C0884358;C1532338,Performed Percutaneous Coronary Intervention,Percutaneous Coronary Intervention,,,Percutaneous Coronary Intervention,C1532338
111,C1320528;C1318493;C0002997,"Time of symptom onset Inflation procedure Angioplasty, Balloon, Coronary","Angioplasty, Balloon, Coronary",,,"Angioplasty, Balloon, Coronary",C0002997
112,C1515974;C0021308,Anatomic Site Infarction,Infarction Anatomic Site ,,,Infarction Anatomic Site ,NA
113,C1518422;C0337954,Negation Tertiary care hospital,NA TO BE DELETED,,,NA TO BE DELETED,NA
114,C1623258;C0449244;C1318493;C1514624;C0002997,"Electrocardiography Time of onset Inflation procedure Qualifying Angioplasty, Balloon, Coronary",Electrocardiography,,,Electrocardiography,C1623258
115,C1623258;C1318493;C1514624;C0002997;C0449244,"Electrocardiography Inflation procedure Qualifying Angioplasty, Balloon, Coronary Time of onset","Angioplasty, Balloon, Coronary",,,"Angioplasty, Balloon, Coronary",C0002997
116,C1881332;C1442488,Killip Class Baseline,Killip Class,,,Killip Class,C1881332
117,C2700280;C0035253,World Rest,Geographic Locations,,,Geographic Locations,C0017446
118,C0040223;C0564385;C3251812;C0449820;C0337954;C1518422,Time /hour Bleeding risk Score Tertiary care hospital Negation,Bleeding risk,,,Bleeding risk,C3251812
119,C0040223;C0564385;C3251812;C0449820;C1518422;C0337954,Time /hour Bleeding risk Score Negation Tertiary care hospital,Bleeding risk,,,Bleeding risk,C3251812
120,C0449820;C3251812,Score Bleeding risk,Bleeding risk,,,Bleeding risk,C3251812
121,C3251812;C0449820,Bleeding risk Score,Bleeding risk,,,Bleeding risk,C3251812
122,C3251812;C0449820;C0337954;C1518422,Bleeding risk Score Tertiary care hospital Negation,Bleeding risk,,,Bleeding risk,C3251812
123,C0009240;C0205307,Cognition Normal,Cognition,,,Cognition,C0009240
124,C0009240;C0221099,Cognition Impaired,Cognition,,,Cognition,C0009240
125,C1552646;C1709380,chi square P-Value,NA TO BE DELETED,,,NA TO BE DELETED,NA
126,C0040223;C0205435;C0574032,Time First (number) Infusion procedures,Infusion procedures,,,Infusion procedures,C0574032
127,C3854607;C0015815,T-Score Structure of neck of femur,Structure of neck of femur,,,Structure of neck of femur,C0015815
128,C0006560;C0439269,C-reactive protein mg/dL,C-Reactive Protein,,,C-Reactive Protein,NA
129,C0023824;C0439269,LDL Cholesterol Lipoproteins mg/dL,lipoprotein cholesterol,,,lipoprotein cholesterol,C0065055
130,C0086582;C0079399,Males Gender,Gender,,,Gender,C0079399
131,C0439269;C1518422;C0023822,mg/dL Negation High Density Lipoprotein Cholesterol,lipoprotein cholesterol,,,lipoprotein cholesterol,C0065055
132,C0439475;C0005823,mmHg Blood Pressure,Blood Pressure,,,Blood Pressure,C0005823
133,C0456689,Kilogram Per Square Meter,NA TO BE DELETED,,,NA TO BE DELETED,NA
134,C1549445;C3241966,Yes - Yes/no indicator Current Smoker,Smoking Status,,,Smoking Status,C1519386
135,C0005910;C0439209,Body Weight Kilogram,Body Weight,,,Body Weight,C0005910
136,C0005938;C0015815,Bone Density Structure of neck of femur,Bone Density,,,Bone Density,C0005938
137,C0019552;C0005938,Hip structure Bone Density,Bone Density,,,Bone Density,C0005938
137,C0019552;C0005938,Hip structure Bone Density,Hip structure,,,Hip structure,C0019552
138,C0812399;C0439445,Creatinine clearance mL/min,Creatinine clearance,,,Creatinine clearance,C0812399
139,C3541401;C1514463,Bisphosphonate drugs affecting bone structure and mineralization Prior Therapy,Bisphosphonate drugs affecting bone structure and mineralization,,,Bisphosphonate drugs affecting bone structure and mineralization,C3541401
140,C0005823;C1442488,Blood Pressure Baseline,Blood Pressure,,,Blood Pressure,C0005823
141,C0011849;C0262926,Diabetes Mellitus Medical History,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
141,C0011849;C0262926,Diabetes Mellitus Medical History,Medical History,,,Medical History,C0262926
142,C0003015;C0521942,Angiotensin-Converting Enzyme Inhibitors Angiotensin II receptor antagonist,Angiotensin II receptor antagonist,,,Angiotensin II receptor antagonist,C0521942
142,C0003015;C0521942,Angiotensin-Converting Enzyme Inhibitors Angiotensin II receptor antagonist,Angiotensin-Converting Enzyme Inhibitors,,,Angiotensin-Converting Enzyme Inhibitors,C0003015
143,C0003015;C1518422;C0521942,Angiotensin-Converting Enzyme Inhibitors Negation Angiotensin II receptor antagonist,Angiotensin II receptor antagonist,,,Angiotensin II receptor antagonist,C0521942
143,C0003015;C1518422;C0521942,Angiotensin-Converting Enzyme Inhibitors Negation Angiotensin II receptor antagonist,Angiotensin-Converting Enzyme Inhibitors,,,Angiotensin-Converting Enzyme Inhibitors,C0003015
144,C0015663;C0202042;C0202045,"Fasting Plasma Glucose Measurement Glucose measurement, fasting",Glucose,,,Glucose,C0017725
144,C0015663;C0202042;C0202045,"Fasting Plasma Glucose Measurement Glucose measurement, fasting",Plasma Glucose Measurement,Glucose,,Glucose,C0017725
145,C0202042;C0202045,"Plasma Glucose Measurement Glucose measurement, fasting",Plasma Glucose Measurement,Glucose,,Glucose,C0017725
146,C0205156;C0007222;C1320716,Previous Cardiovascular Diseases Cardiovascular event,Cardiovascular Diseases,,,Cardiovascular Diseases,C0007222
147,C0205156;C1320716,Previous Cardiovascular event,Cardiovascular event,,,Cardiovascular event,C1320716
148,C0205156;C1320716;C1518422,Previous Cardiovascular event Negation,Cardiovascular event,,,Cardiovascular event,C1320716
149,C0205156;C1518422;C0155668;C0741923;C1880008,Previous Negation Old myocardial infarction cardiac event Cardiovascular History,Cardiovascular Diseases,,,Cardiovascular Diseases,C0007222
149,C0205156;C1518422;C0155668;C0741923;C1880008,Previous Negation Old myocardial infarction cardiac event Cardiovascular History,Medical History,,,Medical History,C0262926
149,C0205156;C1518422;C0155668;C0741923;C1880008,Previous Negation Old myocardial infarction cardiac event Cardiovascular History,Old myocardial infarction,Myocardial Infarction,,Myocardial Infarction,C0027051
150,C0360714;C1518422,Hydroxymethylglutaryl-CoA Reductase Inhibitors Negation,Hydroxymethylglutaryl-CoA Reductase Inhibitors,,,Hydroxymethylglutaryl-CoA Reductase Inhibitors,C0360714
151,C0455280;C0202045,"Plasma glucose result Glucose measurement, fasting",Plasma Glucose Measurement,Glucose,,Glucose,C0017725
152,C0521942;C0003015,Angiotensin II receptor antagonist Angiotensin-Converting Enzyme Inhibitors,Angiotensin II receptor antagonist,,,Angiotensin II receptor antagonist,C0521942
152,C0521942;C0003015,Angiotensin II receptor antagonist Angiotensin-Converting Enzyme Inhibitors,Angiotensin-Converting Enzyme Inhibitors,,,Angiotensin-Converting Enzyme Inhibitors,C0003015
153,C0549183;C0017853,"Midline (qualifier value) Hemoglobin, Glycosylated","Hemoglobin, Glycosylated",,,"Hemoglobin, Glycosylated",C0017853
154,C1518422;C0003015;C0521942,Negation Angiotensin-Converting Enzyme Inhibitors Angiotensin II receptor antagonist,Angiotensin II receptor antagonist,,,Angiotensin II receptor antagonist,C0521942
154,C1518422;C0003015;C0521942,Negation Angiotensin-Converting Enzyme Inhibitors Angiotensin II receptor antagonist,Angiotensin-Converting Enzyme Inhibitors,,,Angiotensin-Converting Enzyme Inhibitors,C0003015
155,C0001779;C2939193,Age Median (qualifier value),Age-Years,,,Age-Years,C1510829
156,C0011570;C1518422,Mental Depression Negation,Mental state,,,Mental state,C0278060
157,C0017853;C2939193,"Hemoglobin, Glycosylated Median (qualifier value)","Hemoglobin, Glycosylated",,,"Hemoglobin, Glycosylated",C0017853
158,C0042036;C0486293,Urine Albumin To Creatinine Protein Ratio Measurement,Albumin To Creatinine Protein Ratio Measurement,,,Albumin To Creatinine Protein Ratio Measurement,C0486293
159,C0042036;C2347635;C0486293,Urine Population Median Albumin To Creatinine Protein Ratio Measurement,Albumin To Creatinine Protein Ratio Measurement,,,Albumin To Creatinine Protein Ratio Measurement,C0486293
160,C0429271;C0876920,Grip strength Median Statistical Measurement,Grip strength,,,Grip strength,C0429271
161,C0876920;C0205682,Median Statistical Measurement Waist-Hip Ratio,Waist-Hip Ratio,,,Waist-Hip Ratio,C0205682
162,C0013658;C0439234,Educational Status year,Educational Status,,,Educational Status,C0013658
163,C0017853;C2347635,"Hemoglobin, Glycosylated Population Median","Hemoglobin, Glycosylated",,,"Hemoglobin, Glycosylated",C0017853
164,C0019016;C0439093;C2348144,Hemoglobin A Greater Than Sample Median,Hemoglobin A,,,Hemoglobin A,C0019016
165,C0518015;C2348144,Hemoglobin measurement Sample Median,Hemoglobin,,,Hemoglobin,C0019046
166,C1442989;C1947933,Standard (qualifier) care activity,NA TO BE DELETED,,,NA TO BE DELETED,NA
167,C2348144;C0017853,"Sample Median Hemoglobin, Glycosylated","Hemoglobin, Glycosylated",,,"Hemoglobin, Glycosylated",C0017853
168,C2348144;C0518015,Sample Median Hemoglobin measurement,Hemoglobin,,,Hemoglobin,C0019046
169,C0001645;C0457083,Adrenergic beta-Antagonists Usage,Adrenergic beta-Antagonists,,,Adrenergic beta-Antagonists,C0001645
170,C0001645;C0457083;C1518422,Adrenergic beta-Antagonists Usage Negation,Adrenergic beta-Antagonists,,,Adrenergic beta-Antagonists,C0001645
171,C0001779;C1510829,Age Age-Years,Age-Years,,,Age-Years,C1510829
172,C0011849;C0205156,Diabetes Mellitus Previous,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
173,C0011849;C0205314,Diabetes Mellitus New,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
174,C0015684;C0032615,Fatty Acids Polyunsaturated Fatty Acids,Fatty Acids,,,Fatty Acids,C0015684
175,C0025598;C0457083,Metformin Usage,Metformin,Antidiabetics,,Antidiabetics,C0935929
176,C0025598;C0457083;C1518422,Metformin Usage Negation,Metformin,Antidiabetics,,Antidiabetics,C0935929
177,C0032042;C1696465,Placebos placebo,placebo,,,placebo,C1696465
178,C0032615;C1719844,Polyunsaturated Fatty Acids Omega,Fatty Acids,,,Fatty Acids,C0015684
179,C0205156;C1320716;C3538987,Previous Cardiovascular event Cardiovascular System Findings Domain,Cardiovascular event,,,Cardiovascular event,C1320716
180,C0360714;C0457083,Hydroxymethylglutaryl-CoA Reductase Inhibitors Usage,Hydroxymethylglutaryl-CoA Reductase Inhibitors,,,Hydroxymethylglutaryl-CoA Reductase Inhibitors,C0360714
181,C0360714;C0457083;C1518422,Hydroxymethylglutaryl-CoA Reductase Inhibitors Usage Negation,Hydroxymethylglutaryl-CoA Reductase Inhibitors,,,Hydroxymethylglutaryl-CoA Reductase Inhibitors,C0360714
182,C0457083;C0003015;C0521942,Usage Angiotensin-Converting Enzyme Inhibitors Angiotensin II receptor antagonist,Angiotensin II receptor antagonist,,,Angiotensin II receptor antagonist,C0521942
182,C0457083;C0003015;C0521942,Usage Angiotensin-Converting Enzyme Inhibitors Angiotensin II receptor antagonist,Angiotensin-Converting Enzyme Inhibitors,,,Angiotensin-Converting Enzyme Inhibitors,C0003015
183,C0457083;C0003015;C0521942;C1518422,Usage Angiotensin-Converting Enzyme Inhibitors Angiotensin II receptor antagonist Negation,Angiotensin II receptor antagonist,,,Angiotensin II receptor antagonist,C0521942
183,C0457083;C0003015;C0521942;C1518422,Usage Angiotensin-Converting Enzyme Inhibitors Angiotensin II receptor antagonist Negation,Angiotensin-Converting Enzyme Inhibitors,,,Angiotensin-Converting Enzyme Inhibitors,C0003015
184,C1320716;C0205156;C1518422,Cardiovascular event Previous Negation,Cardiovascular event,,,Cardiovascular event,C1320716
185,C1706778;C1719844,Allocation Omega,Omega,,,Omega,C1719844
186,C0039798;C0907402,therapeutic aspects Insulin Glargine,Insulin,,,Insulin,C0021641
187,C0205172;C1510829,More Age-Years,Age-Years,,,Age-Years,C1510829
188,C1561643;C1518422,Chronic Kidney Diseases Negation,Chronic Kidney Diseases,Kidney Diseases,,Kidney Diseases,C0022658
189,C0205160;D005968;C0003241,Negative Glutamate Decarboxylase Antibodies,Antibodies,,,Antibodies,C0003241
189,C0205160;D005968;C0003241,Negative Glutamate Decarboxylase Antibodies,Glutamate Decarboxylase,,,Glutamate Decarboxylase,D005968
190,D005968;C0003241;C1446409,Glutamate Decarboxylase Antibodies Positive,Glutamate Decarboxylase,,,Glutamate Decarboxylase,D005968
191,C0007222;C0019664,Cardiovascular Diseases History,Cardiovascular Diseases,,,Cardiovascular Diseases,C0007222
191,C0007222;C0019664,Cardiovascular Diseases History,Medical History,,,Medical History,C0262926
192,C0681344;C0439234,formal education year,Educational Status,,,Educational Status,C0013658
