Text,CUIS
infarct related vessel,C0021308;C0005847
duration of hypercholesterolaemia mean sd year,C0449238;C2926735
l eft anterior descending,C0439394;C0205094;C1706495;C3642217;C0205386;C1547177
patient history of disease n,C0683519;C0730226;C0850708;C0944983
r ight coronary,C0205090;C0018787;C0684010;C2603358
concomitant therapies n,C1707479
circumflex,C1880089
drugs used in diabetes,C0013227;C3687832;C1273517;C0011847;C0011849
graft,C0181074;C0332835;C1961139
antithrombotic agents,C1704311
sr ii b $nmbr$ cjl $nmbr$,C0753208;C1709991;C3813610;C3890900;C3891546
age years,C1510829
antihypertensive agents,C0003364
cardiac therapy,C3654025
body mass index kg m $nmbr$,C0022718;C0439209;C4054209
peripheral vasodilators,C0724804
history of hypertension a c,C0455527
vasoprotectives,C0304533
history of high cholesterol a $nmbr$,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
baseline lipids mean sd mmol l,C0023779;C1532563
history of diabetes a,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
tgt,C1421391;C1428265;C4321338
history of parental myocardial,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0027061;C1522564
apo bt,
infarction before age $nmbr$ a,C0021308;C0001779
smoking a,C0037369;C0453996;C1881674
never,C2003901
apo apolipoprotein dm diabetes mellitus hdl c high density lipoprotein cholesterol ldl c low density lipoprotein cholesterol tc total cholesterol tg triglycerides includes agents acting on the renin angiotensin system beta blocking agents calcium channel blockers and diuretics median values [standard deviation for medians calculated by q $nmbr$ q $nmbr$ $nmbr$ $nmbr$ ] includes cardiac glycosides antiarrhythmics class i and iii vasodilators used in cardiac diseases and other cardiac preparations expressed as g l,C0062152;C0332257;C1552866;C2700399;C0006684;C0549183;C0042295;C0876920;C2347635;C2348144;C2939193;C0871420;C0444686;C1441506;C0441885;C1319793;C2698967;C0439070;C0042402;C1705160;C1273517;C0018799;C1521827;C3812761;C0439294;C0456615
past,
non white,C0007457;C0043157;C0220938
alcohol intake a,C0001948
$nmbr$ kg m $nmbr$,C0022718;C0439209;C4054209
rarely,C0522498
left ventricular ejection fraction mean sd,C0428772;C2699239;C0488728
monthly,C0332177
nyha functional class $nmbr$,C1882083;C0205245;C0542341;C2700217
weekly,C0332174
$nmbr$ $nmbr$ $nmbr$ q,
daily,C0332173
lll iv,C0022326;C4265176
exercise at least weekly a,C0015259;C0332174;C1522704
$nmbr$ $nmbr$ $nmbr$ j,
post menopausal a,C0232970
history congestive heart failure,C0019664;C0018802;C0019665;C0262512;C0262926;C1705255;C2004062
use of hormone replacement therapy a,C1524063;C0282402
chronic obstructive pulmonary disease,C0024117
randomized to active yitamin e,C0034656;C3815594
cerebrovascular accident tia,C0007787;C0917805;C1054154
number reporting migraine on $nmbr$ month questionnaire,C0149931;C0034394
preoperative use p blocker,C0445204;C0042153;C0457083;C1947944
aspirin asa $nmbr$ $nmbr$,C0004057;C3853627
angiotensin receptor blocker,C0034787;C1622222
placebo n $nmbr$ $nmbr$,C0032042;C1696465;C1706408
nsaid,C0003211;C3536840
odds ratio $nmbr$ ci,C0008107;C3259781
baseline characteristics,C4684572
all randomized women,C0034656;C0043210;C3815594
postoperative use of p blocker,C0032790;C1524063
$nmbr$ $nmbr$ $nmbr$ $nmbr$ to $nmbr$ $nmbr$,
operative procedure,C0543467;C0677612
hormonal status,C0458083;C0449438
cabg surgery by no of vessels $nmbr$,C0042381;C3714645
pre menopausal without hormone replacement therapy asa $nmbr$ placebo $nmbr$,C0282402
type no of valves repaired replaced mitral,C0332307;C1547052;C0396849;C0559956;C1299987
pre menopausal with hormone replacement therapy asa $nmbr$ placebo $nmbr$,C0282402
aortic,C0003483
post menopausal without hormone replacement therapy asa $nmbr$ $nmbr$ placebo $nmbr$,C0019930
multiple,C0439064
post menopausal with hormone replacement therapy asa $nmbr$ $nmbr$ placebo $nmbr$,C0019930
type of surgery cabg only,C0332307;C1547052
age yrs,C0001779
valve repair replacement with or without cabg,C0035139;C0559956;C1555302;C4553149;C0010055
digoxin,C0012265
valve repair replacement only,C0035139;C0559956;C1555302;C4553149
n,C0369718;C0441922
time mean sd min procedure,C0184661;C2700391;C3274430;C3539779
prior mi,C0332152;C3810814;C2826257
pump,C0182537
diabetes etiology,C0015127;C1314792;C1524003
cross clamp,C0175721;C1883710;C3810601
ischemic,C0475224
total no of patients,C0439175;C0439810;C0030705
nonischemic,
no of patients with atrial tachyarrhythmia,C0030705;C0018792;C0080203
heart rate min_ $nmbr$ mean,C0444504;C2347634;C2348143
hazard ratio $nmbr$ cl,C2985465;C0596019
systolic bp mm hg mean nyha class,C0488053;C1882083
absolute risk reduction $nmbr$ cl,C3179139;C0596019
ttf fv,C1332112;C1705840;C4087167
no needed to treat $nmbr$ cl,C0027552;C0686904
ct ratio $nmbr$ $nmbr$,C0456603;C1547037
amiodarone,C0002598
ejection fraction mean,C0444504;C2347634;C2348143
age years $nmbr$,C1510829
creatinine $nmbr$ $nmbr$ mg dl medications,C0013227;C0802604;C2598133;C4284232
diuretics,C0012798
type of surgery cabg coronary artery bypass graft,C0449494
stent group n $nmbr$,C0038257;C0441848
type of surgery valve replacement repair with or without cabg,C0449521;C0449533;C0010055
alteplase group n $nmbr$,C0032143;C0441848
preoperative beta blocker use yes,C1549445;C1705108;C1710701
demography,C0011298
preoperative beta blocker use no,C0042153;C0457083;C1947944
median iqr age years,C0549183;C1510829;C0876920;C2347635;C2348144;C2939193
tenecteplase and pci n $nmbr$,C0872913;C4049621
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ ^ $nmbr$,
pci alone n $nmbr$,C0205171;C0439044;C0679994
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,
height cm,C0489786
m f,C0016327
ii iii,C0439070;C1705160
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,
congestive heart failure at randomisation,C0018802;C0034656
history,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
previous infarction,C0205156;C0021308;C1552607
receiving insulin therapy,C1514756;C0021641;C0039798;C0087111;C1363945;C1533581;C1579433;C3714501
previous congestive heart failure,C0205156;C0018802;C1552607
median iqr cholesterol,C0549183;C0008377;C0876920;C2347635;C2348144;C2939193
previous pci,C0205156;C4049621;C1552607
mmol l,C1532563
previous coronary artery bypass graft,C2144990
previous myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
glucosamine n $nmbr$,C0017718
previous cabg,C0205156;C0010055;C1552607
chondroitin sulfate n $nmbr$,C0008466
infarct localisation,C0475264;C1744691
lateral,C0205093
glucosamine chondroitin sulfate n $nmbr$,C0017720
killip class,C1881332
celecoxib n $nmbr$,C0538927
i,C0021966;C0221138
hispanic no,C0086409
ii,
duration of osteoarthritis symptoms yr,C0436359;C0029408
iii,C0439070;C1705160
time since diagnosis of osteoarthritis yr,C0040223;C3541383
iv,C0022326;C4265176
no of $nmbr$ mg acetaminophen tablets day,C0439422;C1243102
median iqr admission data,C1511726;C3245479;C3714741
ara functional class no,C0205245;C0456387;C1518526;C1705943;C0542341;C2700217
systolic blood pressure,C0488055;C0871470;C1306620
unknown,C0439673;C3541433;C4050014
mm hg,C0439475
kellgren and lawrence radiographic reading grade $nmbr$ no,C0441800;C0919553;C3244287
diastolic blood pressure,C0428883;C1305849
global assessment of disease status score,C0281858;C3176928
heart rate beats min,C0439385
physician,C0031831;C0804815
time to admission min,C3854258;C3854259
patient,C0030705
time to balloon needle min,C0040223;C3541383
joint swelling effusion or both on clinical examination no,C1253936;C1963136;C4554335;C0031809
losartan n $nmbr$,C0126174
womac score,C0449820;C4050231
atenolol n $nmbr$,C0004147
pain subscale,C0030193;C0518090;C1962977;C2984058;C4085210;C4085211;C4085212;C4553004;C4554132
all with diabetes n $nmbr$,C0011847;C0011849
stiffness subscale,C0427008
all without diabetes n $nmbr$,C0011847;C0011849
function subscale,C0031843;C0542341;C0700205;C1705273
demographic and clinical characteristics,C0011298;C0683325
normalized,C1882115
ethnic origin white,C0007457;C0043157;C0220938
health assessment questionnaire score,C2960025
hispanic,C0086409
alternative disability,C1523987;C0231170
asian,C0078988
pain,C0030193;C0518090;C1962977;C2984058;C4085210;C4085211;C4085212;C4553004;C4554132
heart rate bpm,C0018810
sf $nmbr$ score,C0449820;C4050231
bmi kg m $nmbr$,C0022718;C0439209;C4054209
physical component,C0449432;C1705248
cornell voltage duration product mmxmsec,C0598352;C0449238;C2926735
mental component,C0449432;C1705248
sokolow lyon mm,C4330985;C4554674
glucosamine,C0017718
framingham risk score,C0035647;C0449820;C4050231;C4552904
chondroitin sulfate,C0008466
current smokers,C3173209;C3241966
glucosamine chondroitin sulfate,C0017720
any vascular diasease,C0005847;C1558950;C1801960
celecoxib,C0538927
coronary heart disease,C0010054;C0010068;C1956346
all randomized patients,C0034656;C0030705;C3815594
cerebrovascular disease,C0007820
primary outcome $nmbr$ decrease in womac pain score,C0392756;C0547047
peripheral vascular disease,C0085096
at end of follow up no,C0444930;C2746065
atrial fibrillation,C0004238;C0344434;C1963067
secondary outcomes,C0027627;C1274040;C0175668;C0205436
isolated systolic hypertension^,C0745133
omeract oarsi response,C0871261;C1704632;C1706817;C2911692
clopidogrel n $nmbr$,C0070166
$nmbr$ decrease in womac pain score,C0392756;C0547047
ticlopidine n $nmbr$,C0040207
womac pain score,C0582148
women n,C0043210
change from baseline,C0392747;C0443172;C1705241;C4319952
diabetes n,C0011847;C0011849
at end of follow up,C0444930;C2746065
smoking habit n,C4505437
womac stiffness score,C0449820;C4050231
hypercholesterolemia n,C0020443;C1522133
womac function score,C0449820;C4050231
systemic arterial hypertension n,C0020538
normalized womac score,C0449820;C4050231
previous myocardial infarction n,C0027051;C0428953;C2926063;C3810814;C4552959
haq alternative disability score,C0449820;C4050231
previous balloon angioplasty n,C0002996;C0002997
haq pain score,C0102923;C0582148;C0451208
previous bypass surgery n,C0205156;C1536078;C1552607
patient s global assessment of response to therapy score,C0030705;C0281858;C0871261;C1704632;C1706817;C2911692;C0449820;C4050231
unstable angina n,C0002965
patient s global assessment of disease status score,C0030705;C0281858;C3176928
platelet count x $nmbr$ mm $nmbr$,C4330985;C4554674
physician s global assessment of disease status score,C0031831;C0804815;C0281858;C3176928
baseline demographics,C0011298;C1704791
joint swelling effusion or both on clinical examination,C1253936;C1963136;C4554335;C0031809
simvastatin n $nmbr$,C0074554
at baseline no,C0168634;C1442488
women men [ ],C0043210;C0025266
at end of follow up no total no,C0444930;C2746065;C0439175;C0439810
disease duration yr,C0872146;C0439234
no of $nmbr$ mg tablets of acetaminophen,C0024671;C1243102;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
mmse points,C1552961;C2347617;C3714763
patients with moderate to severe pain womac pain score $nmbr$ $nmbr$,C0030705;C0205081;C1881878;C4049705;C4049706;C4085643;C4321335;C0582148
adas cog score,C0449820;C4050231
at baseline,C0168634;C1442488
points,C1552961;C2347617;C3714763
patients with mild pain womac pain score $nmbr$ $nmbr$,C0030705;C0278138;C4522280
serum ldl cholesterol,C0428474
figure $nmbr$ pairwise comparisons of the overall likelihood of a response,C1707455;C0871258
mg dl,C0439269
subgroups those with mild pain and those with moderate severe pain,C1079230;C0278138;C4522280;C0278140;C4050465;C4521229
csf a $nmbr$ pm,C3540512;C3889436;C0030266;C4049155
baseline characteristic,C0168634;C1521970;C1442488
csf lathosterol jlg cll,C0064673;C0023434
mtx plus placebo,C0025677;C1417487
